Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
15,GBFS,h1,4,43,0.138383865
15,GBFS,h2,4,43,0.144509792
15,GBFS,h3,4,43,0.140169859
15,GBFS,h4,4,43,0.168159008
15,GBFS,h5,5,242,0.810676813
15,A/A*,h1,4,310,4.202607155
15,A/A*,h2,4,310,4.430929899
15,A/A*,h3,4,43,0.168838978
15,A/A*,h4,4,84,0.448723078
15,A/A*,h5,4,209,2.89589119
16,UCS,NA,5,511,11.62172699
16,GBFS,h1,5,62,0.207284927
16,GBFS,h2,5,62,0.214842319
16,GBFS,h3,5,62,0.207881927
16,GBFS,h4,5,52,0.218409061
16,GBFS,h5,7,272,1.072958231
16,A/A*,h1,5,241,3.094334126
16,A/A*,h2,5,241,3.173109055
16,A/A*,h3,5,55,0.244036913
16,A/A*,h4,5,55,0.295192719
16,A/A*,h5,6,234,4.658386946
17,UCS,NA,3,340,4.884575129
17,GBFS,h1,3,78,0.209874153
17,GBFS,h2,3,78,0.209333897
17,GBFS,h3,3,78,0.209107876
17,GBFS,h4,3,78,0.245180845
17,GBFS,h5,4,92,0.339301825
17,A/A*,h1,3,110,1.020063877
17,A/A*,h2,3,110,1.1180439
17,A/A*,h3,3,61,0.239426136
17,A/A*,h4,3,68,0.37470293
17,A/A*,h5,3,123,1.284350395
18,UCS,NA,2,63,0.459164858
18,GBFS,h1,2,23,0.075807095
18,GBFS,h2,2,23,0.076133966
18,GBFS,h3,2,23,0.076637268
18,GBFS,h4,2,23,0.089136124
18,GBFS,h5,2,11,0.059643984
18,A/A*,h1,2,56,0.419957161
18,A/A*,h2,2,56,0.403543711
18,A/A*,h3,2,30,0.089138269
18,A/A*,h4,2,30,0.106578827
18,A/A*,h5,2,56,0.461589098
19,UCS,NA,1,41,0.201159
19,GBFS,h1,1,39,0.087372065
19,GBFS,h2,1,39,0.088160992
19,GBFS,h3,1,39,0.089412212
19,GBFS,h4,1,39,0.104245186
19,GBFS,h5,1,0,0.020922184
19,A/A*,h1,1,35,0.13718605
19,A/A*,h2,1,35,0.147852898
19,A/A*,h3,1,35,0.101958036
19,A/A*,h4,1,35,0.132004976
19,A/A*,h5,1,10,0.020597935
20,UCS,NA,3,72,1.327722073
