7 4 3 GH.CCLGH...LGAAJKM...JKM..IEEEFFI... C99 K98 J99 G99
7 4 3 GH.CCLGH.JKLGAAJKM..I..M..IEEEFF.... C99 K99 I99 G99
7 4 3 GH.CCLGH.J.LGAAJKM..I.KM..IEEEFF.... C99 K98 I99 G99
7 4 3 .H.CCL.H..KLGAAJKMG..J.MG.IEEEFFI... C99 K99 J99 G99
7 4 3 .H.CCL.H...LGAAJKMG..JKMG.IEEEFFI... C99 K98 J99 G99
7 4 3 .H.CCL.H.JKLGAAJKMG.I..MG.IEEEFF.... C99 K99 I99 G99
7 4 3 .H.CCL.H.J.LGAAJKMG.I.KMG.IEEEFF.... C99 K98 I99 G99
7 4 3 .H.CCLGH..KLGAAJKMG.IJ.M..IEEEFF.... C99 K99 I99 J99
7 4 3 .H.CCLGH...LGAAJKMG.IJKM..IEEEFF.... C99 K98 I99 J99
7 4 3 .H.CCLGH.JKLGAAJKMG.I..M..IEEE.FF... C99 K99 F99 I99
7 4 3 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE.FF... C99 K98 F99 I99
7 4 3 .H.CCLGH.JKLGAAJKMG.I..M..IEEE..FF.. C99 K99 F98 I99
7 4 3 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE..FF.. C99 K98 F98 I99
7 4 3 .H.CCLGH.JKLGAAJKMG.I..M..IEEE...FF. C99 K99 F97 I99
7 4 3 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE...FF. C99 K98 F97 I99
7 4 3 .H.CCLGH.JKLGAAJKMG.I..M..IEEE....FF C99 K99 F96 I99
7 4 3 .H.CCLGH.J.LGAAJKMG.I.KM..IEEE....FF C99 K98 F96 I99
7 5 2 GHCCKLGH..KLGAAJ.M...J.M..IEEE..IFF. I98 F97 I99 J99 G99
7 5 2 GHCCKLGH..KLGAAJ.M...J.M..IEEE..I.FF I98 F96 I99 J99 G99
7 5 2 .HCCKL.H..KLGAAJ.MG..J.MG.IEEE..IFF. I98 F97 I99 J99 G99
7 5 2 .HCCKL.H..KLGAAJ.MG..J.MG.IEEE..I.FF I98 F96 I99 J99 G99
7 5 2 .HCCKL.H..KLAA.J.MG.IJ.MG.IEEEGFF... A99 G98 F99 I99 J99
7 5 2 .HCCKL.H..KLAA.J.MG.IJ.MG.IEEEG.FF.. A99 G98 F98 I99 J99
7 5 2 .HCCKL.H..KLAA.J.MG.IJ.MG.IEEEG..FF. A99 G98 F97 I99 J99
7 5 2 .HCCKL.H..KL.AAJ.MG..J.MG.IEEEG.IFF. I98 G98 F97 I99 J99
7 5 2 .HCCKL.H..KLAA.J.MG.IJ.MG.IEEEG...FF A99 G98 F96 I99 J99
7 5 2 .HCCKL.H..KL.AAJ.MG..J.MG.IEEEG.I.FF I98 G98 F96 I99 J99
7 5 2 .HCCKL.H.JKLAA.J.MG....MG.IEEEG.IFF. I98 A99 G98 F97 I99
7 5 2 .HCCKL.H.JKLAA.J.MG....MG.IEEEG.I.FF I98 A99 G98 F96 I99
8 5 3 GHCC.LGH..KLGAAJKM..IJ.M..IEEE.FF... K99 F99 I99 J99 G99
8 5 3 GHCC.LGH...LGAAJKM..IJKM..IEEE.FF... K98 F99 I99 J99 G99
8 5 3 GHCC.LGH..KLGAAJKM..IJ.M..IEEE..FF.. K99 F98 I99 J99 G99
8 5 3 GHCC.LGH...LGAAJKM..IJKM..IEEE..FF.. K98 F98 I99 J99 G99
8 5 3 GHCC.LGH..KLGAAJKM..IJ.M..IEEE...FF. K99 F97 I99 J99 G99
8 5 3 GHCC.LGH...LGAAJKM..IJKM..IEEE...FF. K98 F97 I99 J99 G99
8 5 3 GHCC.LGH..KLGAAJKM..IJ.M..IEEE....FF K99 F96 I99 J99 G99
8 5 3 GHCC.LGH...LGAAJKM..IJKM..IEEE....FF K98 F96 I99 J99 G99
8 5 3 GHCC.LGH.JKLGAAJKM.....M..IEEE..IFF. K99 I98 F97 I99 G99
8 5 3 GHCC.LGH.J.LGAAJKM....KM..IEEE..IFF. K98 I98 F97 I99 G99
8 5 3 GHCC.LGH.JKLGAAJKM.....M..IEEE..I.FF K99 I98 F96 I99 G99
8 5 3 GHCC.LGH.J.LGAAJKM....KM..IEEE..I.FF K98 I98 F96 I99 G99
8 5 3 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEE.FF... K99 F99 I99 J99 G99
8 5 3 .HCC.L.H...LGAAJKMG.IJKMG.IEEE.FF... K98 F99 I99 J99 G99
8 5 3 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEE..FF.. K99 F98 I99 J99 G99
8 5 3 .HCC.L.H...LGAAJKMG.IJKMG.IEEE..FF.. K98 F98 I99 J99 G99
8 5 3 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEE...FF. K99 F97 I99 J99 G99
8 5 3 .HCC.L.H...LGAAJKMG.IJKMG.IEEE...FF. K98 F97 I99 J99 G99
8 5 3 .HCC.L.H..KLGAAJKMG.IJ.MG.IEEE....FF K99 F96 I99 J99 G99
8 5 3 .HCC.L.H...LGAAJKMG.IJKMG.IEEE....FF K98 F96 I99 J99 G99
8 5 3 .HCC.L.H.JKLGAAJKMG....MG.IEEE..IFF. K99 I98 F97 I99 G99
8 5 3 .HCC.L.H.J.LGAAJKMG...KMG.IEEE..IFF. K98 I98 F97 I99 G99
8 5 3 .HCC.L.H.JKLGAAJKMG....MG.IEEE..I.FF K99 I98 F96 I99 G99
8 5 3 .HCC.L.H.J.LGAAJKMG...KMG.IEEE..I.FF K98 I98 F96 I99 G99
8 5 3 .HCC.L.H..KL.AAJKMG.IJ.MG.IEEEGFF... K99 G98 F99 I99 J99
8 5 3 .HCC.L.H...L.AAJKMG.IJKMG.IEEEGFF... K98 G98 F99 I99 J99
8 5 3 .HCC.L.H..KL.AAJKMG.IJ.MG.IEEEG.FF.. K99 G98 F98 I99 J99
8 5 3 .HCC.L.H...L.AAJKMG.IJKMG.IEEEG.FF.. K98 G98 F98 I99 J99
8 5 3 .HCC.L.H..KL.AAJKMG.IJ.MG.IEEEG..FF. K99 G98 F97 I99 J99
8 5 3 .HCC.L.H...L.AAJKMG.IJKMG.IEEEG..FF. K98 G98 F97 I99 J99
