4 0 4 .MMM.K.III.KAAFGG...FD..LLLD.HBBB..H B99 H98 I99
4 0 4 .MMM.K.III.KAAFGG...FD..LLLD.H..BBBH B99 H98 I99
4 0 4 .MMM.K.III.KAAFGGH..F..HLLLD..BBBD.. D99 B99 I99
4 0 4 .MMM..III..KAAFGGK..FD.HLLLD.H.BBB.. K99 H99 I98
4 0 4 .MMM.KIII..KAAF.....FD.HLLLD.H.BBB.. G99 H99 I98
4 0 4 .MMM.KIII..KAAFGG...FD.HLLLD.HBBB... B99 H99 I98
4 0 4 .MMM.KIII..KAAFGG...FD.HLLLD.H..BBB. B99 H99 I98
4 0 4 .MMM.KIII..KAAFGG...FD.HLLLD.H...BBB B98 H99 I98
4 0 4 .MMM..III..KAAFGGK..FD..LLLD.H.BBB.H K99 H98 I98
4 0 4 .MMM..III...AAFGGK..FD.KLLLD.H.BBB.H K98 H98 I98
4 0 4 .MMM.KIII..KAAF.....FD..LLLD.H.BBB.H G99 H98 I98
4 0 4 .MMM.KIII..KAAFGG...FD..LLLD.HBBB..H B99 H98 I98
4 0 4 .MMM.KIII..KAAFGG...FD..LLLD.H..BBBH B99 H98 I98
4 0 4 .MMM.KIII..KAAFGGH..F..HLLLD..BBBD.. D99 B99 I98
4 0 4 ...MMM..IIIKAAFGGK..FD.HLLLD.H.BBB.. M98 K99 H99
4 0 4 .MMM....IIIKAAFGGK..FD.HLLLD.HBBB... B99 K99 H99
4 0 4 .MMM....IIIKAAFGGK..FD.HLLLD.H..BBB. B99 K99 H99
4 0 4 .MMM....IIIKAAFGGK..FD.HLLLD.H...BBB B98 K99 H99
4 0 4 .MMM....IIIKAAF..K..FD.HLLLD.H.BBB.. K99 G99 H99
4 0 4 .MMM.K..IIIKAAF..H..FD.HLLLD...BBB.. H98 G99 H99
4 0 4 .MMM.K..IIIKAAFD....FD.HLLL..H.BBB.. D99 G99 H99
4 0 4 .MMM.K..IIIKAAF.....FD.HLLLD.HBBB... B99 G99 H99
4 0 4 .MMM.K..IIIKAAF.....FD.HLLLD.H..BBB. B99 G99 H99
4 0 4 .MMM.K..IIIKAAF.....FD.HLLLD.H...BBB B98 G99 H99
4 0 4 .MMM.K..IIIKAAFGG...F..HLLLD.HBBBD.. D99 B99 H99
4 0 4 ...MMM..IIIKAAFGGK..FD..LLLD.H.BBB.H M98 K99 H98
4 0 4 .MMM....IIIKAAFGGK..FD..LLLD.HBBB..H B99 K99 H98
4 0 4 .MMM....IIIKAAFGGK..FD..LLLD.H..BBBH B99 K99 H98
4 0 4 ...MMM..III.AAFGGK..FD.KLLLD.H.BBB.H M98 K98 H98
4 0 4 .MMM.....IIIAAFGGK..FD.KLLLD.H.BBB.H I99 K98 H98
4 0 4 .MMM....III.AAFGGK..FD.KLLLD.HBBB..H B99 K98 H98
4 0 4 .MMM....III.AAFGGK..FD.KLLLD.H..BBBH B99 K98 H98
4 0 4 .MMM....IIIKAAF..K..FD..LLLD.H.BBB.H K99 G99 H98
4 0 4 .MMM....III.AAF..K..FD.KLLLD.H.BBB.H K98 G99 H98
4 0 4 .MMM.K..IIIKAAFD....FD..LLL..H.BBB.H D99 G99 H98
4 0 4 .MMM.K..IIIKAAF.....FD..LLLD.HBBB..H B99 G99 H98
4 0 4 .MMM.K..IIIKAAF.....FD..LLLD.H..BBBH B99 G99 H98
4 0 4 .MMM.K..IIIKAAFGG...F...LLLD.HBBBD.H D99 B99 H98
4 0 4 MMM....III.KAAFGGK..FD.HLLLD.H.BBB.. K99 H99 I99 M99
4 0 4 MMM..K.III.KAAF.....FD.HLLLD.H.BBB.. G99 H99 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD.HLLLD.HBBB... B99 H99 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD.HLLLD.H..BBB. B99 H99 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD.HLLLD.H...BBB B98 H99 I99 M99
4 0 4 MMM....III.KAAFGGK..FD..LLLD.H.BBB.H K99 H98 I99 M99
4 0 4 MMM....III..AAFGGK..FD.KLLLD.H.BBB.H K98 H98 I99 M99
4 0 4 MMM..K.III.KAAF.....FD..LLLD.H.BBB.H G99 H98 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD..LLLD.HBBB..H B99 H98 I99 M99
4 0 4 MMM..K.III.KAAFGG...FD..LLLD.H..BBBH B99 H98 I99 M99
4 0 4 MMM..K.III.KAAFGGH..F..HLLLD..BBBD.. D99 B99 I99 M99
4 0 4 MMM...III..KAAFGGK..FD.HLLLD.H.BBB.. K99 H99 I98 M99
4 0 4 MMM..KIII..KAAF.....FD.HLLLD.H.BBB.. G99 H99 I98 M99
4 0 4 MMM..KIII..KAAFGG...FD.HLLLD.HBBB... B99 H99 I98 M99
4 0 4 MMM..KIII..KAAFGG...FD.HLLLD.H..BBB. B99 H99 I98 M99
